Date,S,E,I,R,All exposed,Daily exposed,Daily admissions,Daily remissions,Daily deaths,All admissions,All remissions,All deaths,Active cases
2020-07-21,60155763.97495851,101851.29054507859,42788.62233587481,6099597.112160509,6244237.025041463,20691.327958551235,1074.6321589866775,963.4866651903112,262.22537776128047,263696.0859093174,203674.81531781532,49346.60384919593,10674.666742306174
2020-07-22,60135359.68738465,100345.71287995383,42172.38545015803,6122123.214285209,6264641.312615321,20404.287573858164,1059.227841462528,950.110035016215,258.698915813406,264755.31375077995,204624.92535283152,49605.30276500934,10525.085632939095
2020-07-23,60115236.68138899,98891.5925505627,41526.45108965168,6144346.27497077,6284764.318610984,20123.005995662883,1043.9810911768338,936.8655701818017,255.20311823233442,265799.2948419568,205561.79092301332,49860.505883241676,10376.998035701814
2020-07-24,60095427.12740632,97437.96437176722,40905.48000691781,6166230.428214965,6304573.872593651,19809.553982666694,1028.891519743623,923.7539629295111,251.7382935311055,266828.1863617004,206485.54488594283,50112.24417677278,10230.397298984804
2020-07-25,60075945.12973999,95959.53218395782,40336.591395448806,6187759.746680571,6324055.870259978,19481.997666327283,1013.9665254863189,910.7750546678822,248.30470636853846,267842.15288718673,207396.3199406107,50360.54888314132,10085.284063434716
2020-07-26,60056745.24725618,94515.59305438626,39756.011079746,6208984.14860966,6343255.752743792,19199.88248381391,999.2085357944686,897.9281578194613,244.90257688762176,268841.3614229812,208294.24809843017,50605.45146002894,9941.661864522088
2020-07-27,60037810.60178893,93124.89847307112,39143.4953210141,6229922.004416957,6362190.398211041,18934.645467249677,984.6117361632496,885.2123815534262,241.53208616563876,269825.97315914446,209179.4604799836,50846.98354619458,9799.529132966287
2020-07-28,60019155.009294346,91762.62221191707,38525.63463747142,6250557.733856238,6380845.990705627,18655.59249458555,970.1743806851873,872.6268689618249,238.19338434085302,270796.14753982966,210052.0873489454,51085.17693053543,9658.883260348819
2020-07-29,60000818.220823035,90367.11894329987,37968.59970026462,6270847.060533376,6399182.779176941,18336.788471314125,955.9038343032901,860.1710081576466,234.8865958222701,271752.051374133,210912.25835710307,51320.0635263577,9519.729490672209
2020-07-30,59982782.62624194,88958.2402958769,37450.97456309187,6290809.158899067,6417218.373758036,18035.59458109457,941.8063824520013,847.8445412265546,231.61182295356548,272693.857756585,211760.1028983296,51551.67534931126,9382.079508944124
2020-07-31,59964994.6180048,87607.00685268287,36896.24005254938,6310503.135089946,6435006.381995178,17788.008237142116,927.8753750046533,835.647486401421,228.36915322069808,273621.73313158966,212595.75038473104,51780.044502531964,9245.938244326651
2020-08-01,59947441.4629928,86326.40274828224,36290.30084444404,6329942.833414443,6452559.537007169,17553.15501199104,914.0992746535827,823.5800114526089,225.15866856113126,274535.83240624325,213419.33039618365,52005.2031710931,9111.298838966504
2020-08-02,59930153.27846322,85068.56655113584,35684.5263876863,6349094.62859793,6469847.721536752,17288.18452958297,900.4791041843091,811.6424421693529,221.98044848158273,275436.31151042756,214230.97283835302,52227.18361957468,8978.155052499867
2020-08-03,59913188.06712598,83746.04901534203,35172.88647373863,6367893.997384907,6486812.932873988,16965.211337235756,887.0293445720893,799.8353118276424,218.83456444862622,276323.34085499967,215030.80815018064,52446.018184023305,8846.514520795718
2020-08-04,59896496.0106388,82424.59698999379,34684.51680482525,6386395.875566346,6503504.989361165,16692.0564871775,873.7589527432842,788.1592010934213,215.72107490794428,277197.0998077429,215818.96735127407,52661.73925893125,8716.393197537604
2020-08-05,59880029.61520052,81166.69638638267,34151.99257986132,6404652.695833207,6519971.384799451,16466.395438285545,860.6569351172445,776.6144153495591,212.64003052477605,278057.7567428602,216595.58176662363,52874.379289456025,8587.79568678054
2020-08-06,59863795.67510137,79957.73898039402,33590.8887087582,6422656.697209452,6536205.324898604,16233.940099153668,847.708216423925,765.200892873441,209.5914851831472,278905.4649592841,217360.78265949705,53083.97077463917,8460.71152514789
2020-08-07,59847843.40606775,78722.87848841731,33081.6524118876,6440353.063031921,6552157.593932226,15952.269033621997,834.9113864915932,753.9185386607895,206.5754988815299,279740.37634577573,218114.70119815785,53290.546273520704,8335.128874097172
2020-08-08,59832156.65819279,77480.16560633673,32604.700667520756,6457759.475533323,6567844.341807181,15686.747874954715,822.2730733717492,742.7676057608827,203.5921284034189,280562.64941914746,218857.46880391875,53494.13840192412,8211.042213304594
2020-08-09,59816696.65609227,76279.83642856494,32105.746357891094,6474918.761121248,6583304.343907704,15460.00210052263,809.7921109807187,731.7486116274954,200.64141524977094,281372.4415301282,219589.21741554624,53694.7798171739,8088.444297408045
2020-08-10,59801461.77854233,75119.37481342211,31587.329757256433,6491832.516886962,6598539.221457641,15234.877549936995,797.4620935670367,720.8618323362867,197.72337900401783,282169.9036236952,220310.07924788253,53892.50319617792,7967.321179634746
2020-08-11,59786478.94553915,73955.74698395979,31095.6576526343,6508470.649824232,6613522.054460826,14982.83300318569,785.2827543844223,710.1069026723555,194.83801422518093,282955.18637807964,221020.1861505549,54087.3412104031,7847.659017121652
2020-08-12,59771751.59476735,72779.3179943775,30640.954609845056,6524829.132628399,6628249.405232621,14727.350771795027,773.2590004608016,699.4828388577653,191.98528748049654,283728.44537854043,221719.66898941266,54279.3264978836,7729.44989124417
2020-08-13,59757244.93251339,71634.81682187918,30174.815786683233,6540946.434878015,6642756.067486578,14506.66225395631,761.3908746046123,688.9883032115816,189.16513675551525,284489.83625314507,222408.65729262424,54468.49163463912,7612.687325881714
